Date,test_year,LONG ONLY,SIGN MOMENTUM,MACD MOMENTUM,DMN-SHARPE,DMN-AVGRET
2017-05-31,2017,0.0024886303740390883,0.0024886303740390883,0.003930861369353529,0.0008094538378784787,0.000656195953255465
2017-06-01,2017,0.009346504242334332,0.009346504242334332,0.006725780500106097,0.002894559987580937,0.0018732228141057484
2017-06-02,2017,-0.00091887990388247,-0.00091887990388247,-0.0029283059115852647,-0.0003023902643871953,-0.00015399588751712317
2017-06-05,2017,0.001651596666927405,0.001651596666927405,-0.0027226375651708224,0.0005482558807652758,0.0004895115619973601
2017-06-06,2017,0.004997128112194041,0.004997128112194041,0.00214001150214759,0.001595142573395363,0.0010655954566968604
2017-06-07,2017,-0.00026159964988312995,-0.00026159964988312995,-0.001858366288947695,-8.420845259798543e-05,6.443359974627459e-05
2017-06-08,2017,-0.02218223799413506,-0.02218223799413506,-0.014365556164986368,-0.0064391607156456185,-0.004515911422029133
2017-06-09,2017,-0.006994554095109548,-0.006994554095109548,-0.004819892109639835,-0.0007449089902002365,-0.0016230470944215696
2017-06-12,2017,0.006738469358635168,0.006738469358635168,0.005307544997091124,0.002181729226208365,0.001471160986609809
2017-06-13,2017,-0.004775952314696784,-0.004775952314696784,-0.002397016176316304,-0.0015678888333382512,-0.0010698221341723783
2017-06-14,2017,-0.0046414597592775615,-0.0046414597592775615,-0.002014224600207086,-0.0015194213486730986,-0.0010648397346222633
2017-06-15,2017,-0.002331401750287557,-0.002331401750287557,-0.00013075939469320345,-0.0008363979625966302,-0.0008112093402188528
2017-06-16,2017,0.016891713953792156,0.016891713953792156,0.006346772655719175,0.005332019662345542,0.00570780986583058
2017-06-19,2017,-0.001095460192613573,-0.001095460192613573,-0.002533416431068203,-0.00039927415621557826,-0.00032314150227916454
2017-06-20,2017,0.012243850389528814,0.012243850389528814,0.003845411151244035,0.0053073076225864805,0.004120479843994798
2017-06-21,2017,3.306208539107517e-05,3.306208539107517e-05,-0.000521521852567254,0.00043203630507533783,2.7476656528476704e-05
2017-06-22,2017,0.0034520441583867512,0.0034520441583867512,0.0024441521785891415,0.0009025853495100542,0.0011362014702480825
2017-06-23,2017,-0.0012693772076171734,-0.0012693772076171734,-0.0005182821469014463,-0.00045925608453170543,-0.0004246528476952524
2017-06-26,2017,-0.01358490199571638,-0.01358490199571638,-0.00817952267576883,-0.004106375221218601,-0.004510320985390873
2017-06-27,2017,0.008845614974674532,0.008845614974674532,0.004693304500596838,0.0011348138533501602,0.0029712255593834654
2017-06-28,2017,-0.013755498218879128,-0.013755498218879128,-0.008193771974593849,-0.005222684652934179,-0.004583206546916546
2017-06-29,2017,0.0011553021414342337,0.0011553021414342337,0.000612279715456585,4.9534834147482075e-05,0.00038815826631478364
2017-06-30,2017,-0.005955326169546095,-0.005955326169546095,-0.0038704201500006277,-0.0019834131473432806,-0.0018131503902037464
2017-07-03,2017,0.010748004214837946,0.010748004214837946,0.005244717923672615,0.002335089848795816,0.003307923590941313
2017-07-05,2017,-0.007805923271779879,-0.007805923271779879,-0.0035473725338920075,-0.0024371353569045164,-0.002304574633174165
2017-07-06,2017,0.008640878801614038,0.008640878801614038,0.0033900538911512653,0.001923330743661829,0.0026416161607258765
2017-07-07,2017,0.005130648314894928,0.005130648314894928,0.0019240147919628607,0.0016755284036516353,0.0015295061825002134
2017-07-10,2017,1.1882131753909004e-05,1.1882131753909004e-05,-0.0005845056265898247,1.2058478005290445e-05,2.0933921341424728e-05
2017-07-11,2017,0.009943767363387996,0.009943767363387996,0.006212269141729685,0.002904261222301122,0.0029165964008897485
2017-07-12,2017,-0.00039999382290228545,-0.00039999382290228545,-0.0022798289017773245,-0.00013372159975979543,-7.319632888765909e-05
2017-07-13,2017,0.0072042958549406065,0.0072042958549406065,0.003977662042303085,0.0021548825479484855,0.002100107909437458
2017-07-14,2017,0.0005404092856133884,0.0005404092856133884,8.441997147807604e-05,0.00017425591474982404,0.00015425635212208975
2017-07-17,2017,0.0018740770986748108,0.0018740770986748108,0.001613613496729617,0.0006140448207054357,0.0005196023476297473
2017-07-18,2017,0.005885672363457807,0.005885672363457807,0.004357995317126428,0.0020615937508807886,0.0016894748642505824
2017-07-19,2017,0.0017793117975457677,0.0017793117975457677,0.0017331562776915926,0.0006217960955426251,0.0005033295410657892
2017-07-20,2017,-0.0008431361142490874,-0.0008431361142490874,-0.0008369271212496771,-0.0002596716666427121,-0.00022672664432719922
2017-07-21,2017,0.003799592407454984,0.003799592407454984,0.0019504695899899927,0.0013594219078486853,0.0011597546537483847
2017-07-24,2017,4.7945022220186604e-05,4.7945022220186604e-05,-0.00040723334475964673,0.00012233623499757664,2.761854116875665e-05
2017-07-25,2017,0.0062813986715883185,0.0062813986715883185,0.004577564839378985,0.0021843117353770166,0.0018835823513231422
2017-07-26,2017,-0.012930234919324794,-0.012930234919324794,-0.01018538744089198,-0.005036220400905089,-0.003728042483432965
2017-07-27,2017,-0.0021715950534956186,-0.0021715950534956186,-0.0012667836016583482,-0.0007248633030335576,-0.0006660539933618247
2017-07-28,2017,-0.0032988077374063603,-0.0032988077374063603,-0.0021726966706356685,-0.0011267975892259962,-0.0010058044533538988
2017-07-31,2017,0.00501449657588298,0.00501449657588298,0.003516266898913721,0.0016475466229559507,0.0012721109995781454
2017-08-01,2017,0.009108347097811094,0.009108347097811094,0.004810051062397352,0.002999224317490924,0.0027436045004622643
2017-08-02,2017,-0.0025418624935092354,-0.0025418624935092354,-0.001554536033422496,-0.0014579546316553782,-0.0007105207743743021
2017-08-03,2017,0.001330105628395285,0.001330105628395285,0.0011102486938335684,0.0004293672737925755,0.0003845980020213394
2017-08-04,2017,0.00660744849745583,0.00660744849745583,0.004633515066382363,0.002316443088948772,0.0019159734071228585
2017-08-07,2017,-0.002611010373678194,-0.002611010373678194,-0.0014152855565166002,-0.0006984640346993094,-0.0007245738229702528
2017-08-08,2017,0.0005539930671563595,0.0005539930671563595,0.0011978881773750964,0.0002492423643063855,0.00015557169516156364
2017-08-09,2017,-0.024767343459350936,-0.024767343459350936,-0.01843482022824493,-0.00848770969378199,-0.00714598620855616
2017-08-10,2017,0.006047051612625137,0.006047051612625137,0.004339093657482352,0.001984466628810183,0.0018601631944944184
